nu_cm-1,alpha
1932.000,4.204665e-06
1932.050,4.971345e-06
1932.100,6.013993e-06
1932.150,7.478251e-06
1932.200,9.623545e-06
1932.250,1.294681e-05
1932.300,1.849893e-05
1932.350,2.882941e-05
1932.400,5.151596e-05
1932.450,1.180624e-04
1932.500,4.879535e-04
1932.550,3.397350e-03
1932.600,3.192249e-04
1932.650,9.428140e-05
1932.700,4.446757e-05
1932.750,2.602284e-05
1932.800,1.727544e-05
1932.850,1.248601e-05
1932.900,9.616653e-06
1932.950,7.800849e-06
1933.000,6.625445e-06
1933.050,5.894095e-06
1933.100,5.453408e-06
1933.150,5.297080e-06
1933.200,5.442810e-06
1933.250,5.973650e-06
1933.300,7.115125e-06
1933.350,9.426667e-06
1933.400,1.448959e-05
1933.450,2.814960e-05
1933.500,8.697184e-05
1933.550,8.249594e-04
1933.600,1.643407e-04
1933.650,3.880166e-05
1933.700,1.731274e-05
1933.750,1.016320e-05
1933.800,6.992949e-06
1933.850,5.402212e-06
1933.900,4.683954e-06
1933.950,4.889001e-06
1934.000,8.361156e-06
1934.050,4.897929e-05
1934.100,9.937746e-06
1934.150,4.111180e-06
1934.200,2.961369e-06
1934.250,2.597725e-06
1934.300,2.535987e-06
1934.350,2.709007e-06
1934.400,3.217543e-06
1934.450,4.455034e-06
1934.500,8.008004e-06
1934.550,2.357284e-05
1934.600,2.089144e-04
1934.650,3.619028e-05
1934.700,9.601514e-06
1934.750,4.756332e-06
1934.800,3.147402e-06
1934.850,2.797481e-06
1934.900,2.947324e-06
1934.950,1.760759e-06
1935.000,1.497979e-06
1935.050,1.365898e-06
1935.100,1.289997e-06
1935.150,1.256339e-06
1935.200,1.277076e-06
1935.250,1.429850e-06
1935.300,2.264265e-06
1935.350,1.077808e-05
1935.400,2.556477e-06
1935.450,1.414594e-06
1935.500,1.190806e-06
1935.550,1.117124e-06
1935.600,1.091492e-06
1935.650,1.089630e-06
1935.700,1.105131e-06
1935.750,1.138719e-06
1935.800,1.197268e-06
1935.850,1.298482e-06
1935.900,1.488164e-06
1935.950,1.908806e-06
1936.000,3.192907e-06
1936.050,1.127756e-05
1936.100,3.385794e-05
1936.150,4.979439e-06
1936.200,2.412253e-06
1936.250,1.796193e-06
1936.300,1.582912e-06
1936.350,1.507118e-06
1936.400,1.497180e-06
1936.450,1.534227e-06
1936.500,1.636173e-06
1936.550,1.975087e-06
1936.600,5.478808e-06
1936.650,3.070724e-06
1936.700,2.190382e-06
1936.750,2.038286e-06
1936.800,2.142466e-06
1936.850,2.365619e-06
1936.900,2.889867e-06
1936.950,6.103138e-06
1937.000,5.504601e-06
1937.050,3.523310e-06
1937.100,3.558356e-06
1937.150,3.892749e-06
1937.200,4.389136e-06
1937.250,5.052683e-06
1937.300,5.932571e-06
1937.350,7.119404e-06
1937.400,8.782785e-06
1937.450,1.112654e-05
1937.500,1.468919e-05
1937.550,2.046311e-05
1937.600,3.072058e-05
1937.650,5.166344e-05
1937.700,1.054711e-04
1937.750,3.233669e-04
1937.800,3.059768e-03
1937.850,8.444887e-04
1937.900,1.757816e-04
1937.950,7.305449e-05
1938.000,4.020595e-05
1938.050,2.583617e-05
1938.100,1.839991e-05
1938.150,1.417228e-05
1938.200,1.167868e-05
1938.250,1.027187e-05
1938.300,9.684266e-06
1938.350,9.891846e-06
1938.400,1.114548e-05
1938.450,1.425239e-05
1938.500,2.170919e-05
1938.550,4.353050e-05
1938.600,1.529796e-04
1938.650,1.243816e-03
1938.700,1.604741e-04
1938.750,4.348266e-05
1938.800,2.060313e-05
1938.850,1.248799e-05
1938.900,8.716297e-06
1938.950,6.692575e-06
1939.000,5.562563e-06
1939.050,5.025976e-06
1939.100,4.797688e-06
1939.150,6.446181e-06
1939.200,5.259021e-06
1939.250,6.619642e-06
1939.300,1.151116e-05
1939.350,3.703569e-05
1939.400,2.709599e-04
1939.450,3.347072e-05
1939.500,1.047971e-05
1939.550,5.598279e-06
1939.600,3.800767e-06
1939.650,2.941071e-06
1939.700,2.471046e-06
1939.750,2.211921e-06
1939.800,2.132172e-06
1939.850,2.444554e-06
1939.900,6.064355e-06
1939.950,6.064073e-06
1940.000,2.178846e-06
1940.050,1.651645e-06
1940.100,1.472164e-06
1940.150,1.381747e-06
1940.200,1.327557e-06
1940.250,1.293240e-06
1940.300,1.272626e-06
1940.350,1.263499e-06
1940.400,1.265878e-06
1940.450,1.281856e-06
1940.500,1.316556e-06
1940.550,1.381014e-06
1940.600,1.500257e-06
1940.650,1.739615e-06
1940.700,2.320698e-06
1940.750,4.358511e-06
1940.800,1.685540e-05
1940.850,3.024897e-05
1940.900,5.111812e-06
1940.950,2.556192e-06
1941.000,1.883889e-06
1941.050,1.629325e-06
1941.100,1.522067e-06
1941.150,1.486907e-06
1941.200,1.504684e-06
1941.250,1.594701e-06
1941.300,1.890418e-06
1941.350,3.604428e-06
1941.400,7.567391e-06
1941.450,3.265836e-06
1941.500,2.074783e-06
1941.550,2.617729e-06
1941.600,5.591999e-06
1941.650,2.135378e-06
1941.700,1.907600e-06
1941.750,1.920067e-06
1941.800,1.951064e-06
1941.850,2.030526e-06
1941.900,2.132844e-06
1941.950,2.255517e-06
1942.000,2.399669e-06
1942.050,2.568125e-06
1942.100,2.765107e-06
1942.150,2.996362e-06
1942.200,3.269545e-06
1942.250,3.594864e-06
1942.300,3.986059e-06
1942.350,4.461919e-06
1942.400,5.048640e-06
1942.450,5.783613e-06
1942.500,6.721683e-06
1942.550,7.945964e-06
1942.600,9.587354e-06
1942.650,1.186188e-05
1942.700,1.514713e-05
1942.750,2.015282e-05
