nu_cm-1,alpha_line1,alpha_line2,alpha_total,transmittance
7185.373,1.404922e-03,3.672623e-03,5.077545e-03,9.949353e-01
7185.374,1.417553e-03,3.705733e-03,5.123286e-03,9.948898e-01
7185.375,1.430354e-03,3.739292e-03,5.169647e-03,9.948437e-01
7185.376,1.443330e-03,3.773311e-03,5.216640e-03,9.947969e-01
7185.377,1.456483e-03,3.807795e-03,5.264278e-03,9.947496e-01
7185.378,1.469816e-03,3.842755e-03,5.312571e-03,9.947015e-01
7185.379,1.483333e-03,3.878199e-03,5.361532e-03,9.946528e-01
7185.380,1.497037e-03,3.914136e-03,5.411173e-03,9.946034e-01
7185.381,1.510931e-03,3.950576e-03,5.461507e-03,9.945534e-01
7185.382,1.525020e-03,3.987526e-03,5.512546e-03,9.945026e-01
7185.383,1.539307e-03,4.024998e-03,5.564305e-03,9.944511e-01
7185.384,1.553795e-03,4.063002e-03,5.616796e-03,9.943989e-01
7185.385,1.568488e-03,4.101546e-03,5.670034e-03,9.943460e-01
7185.386,1.583390e-03,4.140642e-03,5.724032e-03,9.942923e-01
7185.387,1.598506e-03,4.180299e-03,5.778806e-03,9.942379e-01
7185.388,1.613839e-03,4.220530e-03,5.834369e-03,9.941826e-01
7185.389,1.629394e-03,4.261345e-03,5.890738e-03,9.941266e-01
7185.390,1.645174e-03,4.302755e-03,5.947929e-03,9.940697e-01
7185.391,1.661184e-03,4.344772e-03,6.005956e-03,9.940120e-01
7185.392,1.677429e-03,4.387408e-03,6.064837e-03,9.939535e-01
7185.393,1.693912e-03,4.430675e-03,6.124588e-03,9.938941e-01
7185.394,1.710640e-03,4.474586e-03,6.185226e-03,9.938339e-01
7185.395,1.727617e-03,4.519153e-03,6.246770e-03,9.937727e-01
7185.396,1.744847e-03,4.564390e-03,6.309237e-03,9.937106e-01
7185.397,1.762336e-03,4.610311e-03,6.372647e-03,9.936476e-01
7185.398,1.780089e-03,4.656928e-03,6.437017e-03,9.935837e-01
7185.399,1.798111e-03,4.704256e-03,6.502367e-03,9.935187e-01
7185.400,1.816408e-03,4.752310e-03,6.568718e-03,9.934528e-01
7185.401,1.834985e-03,4.801105e-03,6.636090e-03,9.933859e-01
7185.402,1.853848e-03,4.850656e-03,6.704504e-03,9.933179e-01
7185.403,1.873003e-03,4.900978e-03,6.773981e-03,9.932489e-01
7185.404,1.892456e-03,4.952088e-03,6.844545e-03,9.931788e-01
7185.405,1.912214e-03,5.004003e-03,6.916217e-03,9.931076e-01
7185.406,1.932282e-03,5.056739e-03,6.989020e-03,9.930353e-01
7185.407,1.952667e-03,5.110313e-03,7.062980e-03,9.929619e-01
7185.408,1.973375e-03,5.164744e-03,7.138120e-03,9.928873e-01
7185.409,1.994415e-03,5.220050e-03,7.214465e-03,9.928115e-01
7185.410,2.015792e-03,5.276250e-03,7.292043e-03,9.927345e-01
7185.411,2.037514e-03,5.333364e-03,7.370878e-03,9.926562e-01
7185.412,2.059589e-03,5.391410e-03,7.450999e-03,9.925767e-01
7185.413,2.082024e-03,5.450410e-03,7.532433e-03,9.924959e-01
7185.414,2.104826e-03,5.510384e-03,7.615210e-03,9.924137e-01
7185.415,2.128005e-03,5.571355e-03,7.699360e-03,9.923302e-01
7185.416,2.151568e-03,5.633343e-03,7.784912e-03,9.922453e-01
7185.417,2.175524e-03,5.696373e-03,7.871898e-03,9.921590e-01
7185.418,2.199882e-03,5.760468e-03,7.960350e-03,9.920712e-01
7185.419,2.224650e-03,5.825652e-03,8.050301e-03,9.919820e-01
7185.420,2.249838e-03,5.891949e-03,8.141786e-03,9.918913e-01
7185.421,2.275455e-03,5.959385e-03,8.234840e-03,9.917990e-01
7185.422,2.301511e-03,6.027986e-03,8.329497e-03,9.917051e-01
7185.423,2.328017e-03,6.097780e-03,8.425797e-03,9.916096e-01
7185.424,2.354982e-03,6.168794e-03,8.523776e-03,9.915124e-01
7185.425,2.382418e-03,6.241056e-03,8.623474e-03,9.914136e-01
7185.426,2.410335e-03,6.314597e-03,8.724932e-03,9.913130e-01
7185.427,2.438744e-03,6.389447e-03,8.828190e-03,9.912107e-01
7185.428,2.467657e-03,6.465636e-03,8.933293e-03,9.911065e-01
7185.429,2.497086e-03,6.543197e-03,9.040283e-03,9.910005e-01
7185.430,2.527044e-03,6.622163e-03,9.149207e-03,9.908925e-01
7185.431,2.557543e-03,6.702569e-03,9.260112e-03,9.907826e-01
7185.432,2.588596e-03,6.784449e-03,9.373045e-03,9.906707e-01
7185.433,2.620216e-03,6.867840e-03,9.488056e-03,9.905568e-01
7185.434,2.652418e-03,6.952779e-03,9.605197e-03,9.904408e-01
7185.435,2.685216e-03,7.039304e-03,9.724520e-03,9.903226e-01
7185.436,2.718624e-03,7.127456e-03,9.846081e-03,9.902022e-01
7185.437,2.752658e-03,7.217276e-03,9.969934e-03,9.900796e-01
7185.438,2.787333e-03,7.308805e-03,1.009614e-02,9.899547e-01
7185.439,2.822666e-03,7.402088e-03,1.022475e-02,9.898273e-01
7185.440,2.858673e-03,7.497169e-03,1.035584e-02,9.896976e-01
7185.441,2.895371e-03,7.594096e-03,1.048947e-02,9.895654e-01
7185.442,2.932778e-03,7.692916e-03,1.062569e-02,9.894306e-01
7185.443,2.970913e-03,7.793678e-03,1.076459e-02,9.892931e-01
7185.444,3.009793e-03,7.896435e-03,1.090623e-02,9.891530e-01
7185.445,3.049440e-03,8.001238e-03,1.105068e-02,9.890102e-01
7185.446,3.089872e-03,8.108143e-03,1.119802e-02,9.888644e-01
7185.447,3.131111e-03,8.217207e-03,1.134832e-02,9.887158e-01
7185.448,3.173178e-03,8.328487e-03,1.150166e-02,9.885642e-01
7185.449,3.216096e-03,8.442044e-03,1.165814e-02,9.884096e-01
7185.450,3.259887e-03,8.557941e-03,1.181783e-02,9.882517e-01
7185.451,3.304575e-03,8.676242e-03,1.198082e-02,9.880907e-01
7185.452,3.350184e-03,8.797014e-03,1.214720e-02,9.879263e-01
7185.453,3.396741e-03,8.920327e-03,1.231707e-02,9.877585e-01
7185.454,3.444271e-03,9.046253e-03,1.249052e-02,9.875872e-01
7185.455,3.492801e-03,9.174864e-03,1.266767e-02,9.874122e-01
7185.456,3.542359e-03,9.306240e-03,1.284860e-02,9.872336e-01
7185.457,3.592975e-03,9.440458e-03,1.303343e-02,9.870511e-01
7185.458,3.644679e-03,9.577602e-03,1.322228e-02,9.868648e-01
7185.459,3.697501e-03,9.717756e-03,1.341526e-02,9.866743e-01
7185.460,3.751474e-03,9.861011e-03,1.361249e-02,9.864797e-01
7185.461,3.806632e-03,1.000746e-02,1.381409e-02,9.862809e-01
7185.462,3.863009e-03,1.015719e-02,1.402020e-02,9.860776e-01
7185.463,3.920641e-03,1.031031e-02,1.423095e-02,9.858698e-01
7185.464,3.979564e-03,1.046692e-02,1.444648e-02,9.856574e-01
7185.465,4.039819e-03,1.062712e-02,1.466694e-02,9.854401e-01
7185.466,4.101445e-03,1.079103e-02,1.489248e-02,9.852179e-01
7185.467,4.164483e-03,1.095877e-02,1.512325e-02,9.849905e-01
7185.468,4.228976e-03,1.113044e-02,1.535941e-02,9.847579e-01
7185.469,4.294969e-03,1.130617e-02,1.560114e-02,9.845199e-01
7185.470,4.362509e-03,1.148610e-02,1.584861e-02,9.842763e-01
7185.471,4.431643e-03,1.167036e-02,1.610200e-02,9.840269e-01
7185.472,4.502423e-03,1.185909e-02,1.636151e-02,9.837716e-01
7185.473,4.574898e-03,1.205242e-02,1.662732e-02,9.835101e-01
7185.474,4.649125e-03,1.225052e-02,1.689965e-02,9.832423e-01
7185.475,4.725159e-03,1.245355e-02,1.717870e-02,9.829680e-01
7185.476,4.803057e-03,1.266165e-02,1.746471e-02,9.826869e-01
7185.477,4.882882e-03,1.287501e-02,1.775789e-02,9.823988e-01
7185.478,4.964696e-03,1.309380e-02,1.805850e-02,9.821036e-01
7185.479,5.048564e-03,1.331821e-02,1.836678e-02,9.818009e-01
7185.480,5.134556e-03,1.354843e-02,1.868299e-02,9.814905e-01
7185.481,5.222742e-03,1.378467e-02,1.900741e-02,9.811721e-01
7185.482,5.313196e-03,1.402712e-02,1.934032e-02,9.808455e-01
7185.483,5.405996e-03,1.427602e-02,1.968201e-02,9.805104e-01
7185.484,5.501222e-03,1.453158e-02,2.003280e-02,9.801665e-01
7185.485,5.598958e-03,1.479405e-02,2.039301e-02,9.798135e-01
7185.486,5.699290e-03,1.506369e-02,2.076298e-02,9.794511e-01
7185.487,5.802310e-03,1.534073e-02,2.114304e-02,9.790789e-01
