nu_cm-1,alpha
2045.031,0.000000e+00
2045.032,0.000000e+00
2045.033,0.000000e+00
2045.034,0.000000e+00
2045.035,0.000000e+00
2045.036,0.000000e+00
2045.037,0.000000e+00
2045.038,0.000000e+00
2045.039,0.000000e+00
2045.040,0.000000e+00
2045.041,0.000000e+00
2045.042,0.000000e+00
2045.043,0.000000e+00
2045.044,0.000000e+00
2045.045,0.000000e+00
2045.046,0.000000e+00
2045.047,0.000000e+00
2045.048,0.000000e+00
2045.049,0.000000e+00
2045.050,0.000000e+00
2045.051,0.000000e+00
2045.052,0.000000e+00
2045.053,0.000000e+00
2045.054,0.000000e+00
2045.055,0.000000e+00
2045.056,0.000000e+00
2045.057,0.000000e+00
2045.058,0.000000e+00
2045.059,0.000000e+00
2045.060,0.000000e+00
2045.061,0.000000e+00
2045.062,0.000000e+00
2045.063,0.000000e+00
2045.064,0.000000e+00
2045.065,0.000000e+00
2045.066,0.000000e+00
2045.067,0.000000e+00
2045.068,0.000000e+00
2045.069,0.000000e+00
2045.070,0.000000e+00
2045.071,0.000000e+00
2045.072,0.000000e+00
